ID, route, distanceKm, originAirport, originCity, latitude, longitude, destinationAirport, destinationCity, latitude, longitude, dayOfWeek, departureTime, arrivalTime, flightSize
CA1554, YVR-YYZ, 3346, YVR, Vancouver, 49.193901062, -123.183998108, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 07:36, 13:08, 110, 
CA1998, YYZ-YOW, 363, YYZ, Toronto, 43.6772003174, -79.63059997559999, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 0, 11:18, 12:03, 145, 
CA2262, SUR-YUX, 1827, SUR, Summer Beaver, 52.70859909057617, -88.54190063476562, YUX, Hall Beach, 68.77610015869999, -81.2425, 2, 20:28, 23:36, 232, 
CA842, YPE-YSP, 2240, YPE, Peace River, 56.226898, -117.446999, YSP, Marathon, 48.75529861450195, -86.34439849853516, 4, 18:37, 22:07, 232, 
CA2996, YOO-YEL, 394, YOO, Oshawa, 43.922798, -78.894997, YEL, ELLIOT LAKE, 46.351398468, -82.5614013672, 3, 09:17, 10:02, 232, 
CA2624, YPM-YVR, 2072, YPM, Pikangikum, 51.819698333740234, -93.97329711914062, YVR, Vancouver, 49.193901062, -123.183998108, 4, 12:54, 16:15, 110, 
CA1824, YYC-YUL, 3006, YYC, Calgary, 51.113899231, -114.019996643, YUL, Montreal, 45.4706001282, -73.7407989502, 0, 07:38, 13:01, 145, 
CA2451, YGX-YXC, 1589, YGX, Gillam, 56.35749816894531, -94.71060180664062, YXC, Cranbrook, 49.610801696777, -115.78199768066, 7, 11:27, 14:22, 81, 
CA1590, YVR-ZWL, 1639, YVR, Vancouver, 49.193901062, -123.183998108, ZWL, Wollaston Lake, 58.10689926147461, -103.1719970703125, 1, 08:59, 11:29, 232, 
CA416, YHZ-YEG, 3683, YHZ, Halifax, 44.8807983398, -63.5085983276, YEG, Edmonton, 53.309700012200004, -113.580001831, 0, 08:49, 14:29, 110, 
CA1859, YYC-YYZ, 2690, YYC, Calgary, 51.113899231, -114.019996643, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 06:07, 10:47, 81, 
CA3044, YAB-YXH, 2844, YAB, Arctic Bay, 73.0058922479, -85.0325489044, YXH, Medicine Hat, 50.01890182495117, -110.72100067138672, 5, 14:34, 19:09, 81, 
CA1644, YWY-YCB, 1045, YWY, Wrigley, 63.20940017700195, -123.43699645996094, YCB, Cambridge Bay, 69.1081008911, -105.138000488, 2, 23:19, 01:13, 232, 
CA449, YHZ-YQR, 3103, YHZ, Halifax, 44.8807983398, -63.5085983276, YQR, Regina, 50.43190002441406, -104.66600036621094, 4, 17:22, 22:32, 232, 
CA3364, KES-YGO, 208, KES, Kelsey, 56.0374984741, -96.50969696039999, YGO, Gods Lake Narrows, 54.55889892578125, -94.49140167236328, 5, 07:43, 08:28, 110, 
CA1610, YVV-YDA, 4126, YVV, Wiarton, 44.7458, -81.107201, YDA, Dawson, 64.04309844970703, -139.1280059814453, 3, 08:54, 16:27, 232, 
CA3320, YRO-YKQ, 706, YRO, Ottawa, 45.4603004456, -75.64610290530001, YKQ, Waskaganish, 51.47330093383789, -78.75830078125, 4, 23:26, 00:43, 145, 
CA3168, YBW-YSN, 359, YBW, Bedwell Harbour, 48.75, -123.233001709, YSN, Salmon Arm, 50.682802, -119.228996, 4, 13:11, 13:56, 232, 
CA1088, YQH-YVR, 1266, YQH, Watson Lake, 60.11640167236328, -128.82200622558594, YVR, Vancouver, 49.193901062, -123.183998108, 2, 13:11, 15:24, 81, 
CA1139, YQW-YXZ, 1738, YQW, North Battleford, 52.76919937133789, -108.24400329589844, YXZ, Wawa, 47.96670150756836, -84.78669738769531, 4, 22:37, 01:31, 145, 
CA71, YCO-YMT, 2988, YCO, Coppermine, 67.816704, -115.143997, YMT, Chibougamau, 49.77190017700195, -74.5280990600586, 4, 15:22, 20:37, 110, 
CA322, YFO-YMA, 2153, YFO, Flin Flon, 54.6781005859375, -101.68199920654297, YMA, Mayo, 63.61640167236328, -135.8679962158203, 2, 13:50, 17:14, 145, 
CA2962, YDT-YVM, 3802, YDT, Boundary Bay, 49.0742, -123.012001, YVM, Broughton Island, 67.5457992554, -64.03140258789999, 3, 07:37, 14:25, 110, 
CA3383, ZGF-YKZ, 3013, ZGF, Grand Forks, 49.01559829711914, -118.43099975585938, YKZ, Toronto, 43.86220169067383, -79.37000274658203, 2, 07:19, 12:32, 145, 
CA1426, YVG-YYZ, 2511, YVG, Vermillion, 53.355800628699996, -110.823997498, YYZ, Toronto, 43.6772003174, -79.63059997559999, 7, 06:16, 10:44, 232, 
CA310, YFB-YQR, 2583, YFB, Iqaluit, 63.756402, -68.555801, YQR, Regina, 50.43190002441406, -104.66600036621094, 5, 08:28, 12:40, 81, 
CA941, YQB-YOW, 368, YQB, Quebec, 46.7911, -71.393303, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 0, 09:13, 09:58, 81, 
CA1271, YUB-YGZ, 1739, YUB, Tuktoyaktuk, 69.43329620361328, -133.0260009765625, YGZ, Grise Fiord, 76.4261016846, -82.90920257570001, 1, 13:39, 16:35, 110, 
CA438, YHZ-YQB, 646, YHZ, Halifax, 44.8807983398, -63.5085983276, YQB, Quebec, 46.7911, -71.393303, 0, 10:04, 11:14, 145, 
CA2535, YLC-YCY, 851, YLC, Kimmirut, 62.8499984741, -69.88330078119999, YCY, Clyde River, 70.4860992432, -68.5167007446, 2, 13:22, 14:55, 81, 
CA979, YQB-YVR, 3788, YQB, Quebec, 46.7911, -71.393303, YVR, Vancouver, 49.193901062, -123.183998108, 0, 09:20, 15:04, 110, 
CA3106, YGM-YBB, 2029, YGM, Gimli, 50.62810134887695, -97.04329681396484, YBB, Pelly Bay, 68.534401, -89.808098, 2, 12:53, 16:37, 110, 
CA1498, YVR-YOW, 3553, YVR, Vancouver, 49.193901062, -123.183998108, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 0, 10:52, 17:11, 110, 
CA3307, YOS-YSO, 1886, YOS, Owen Sound, 44.5903015137, -80.8375015259, YSO, Postville, 54.9105, -59.78507, 7, 20:33, 23:26, 81, 
CA1806, YYC-YQB, 3105, YYC, Calgary, 51.113899231, -114.019996643, YQB, Quebec, 46.7911, -71.393303, 0, 11:38, 16:24, 232, 
CA1516, YVR-YUL, 3683, YVR, Vancouver, 49.193901062, -123.183998108, YUL, Montreal, 45.4706001282, -73.7407989502, 0, 11:35, 17:20, 232, 
CA103, YDB-YUL, 4448, YDB, Burwash, 61.37110137939453, -139.04100036621094, YUL, Montreal, 45.4706001282, -73.7407989502, 5, 23:09, 07:07, 145, 
CA615, YMM-YDN, 956, YMM, Fort Mcmurray, 56.653301239, -111.222000122, YDN, Dauphin, 51.100799560546875, -100.052001953125, 3, 23:57, 01:39, 81, 
CA3228, YCQ-YYN, 1106, YCQ, Chetwynd, 55.687198638916016, -121.62699890136719, YYN, Swift Current, 50.291900634799994, -107.691001892, 1, 22:14, 00:16, 145, 
CA238, YEG-YYZ, 2689, YEG, Edmonton, 53.309700012200004, -113.580001831, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 09:25, 14:16, 110, 
CA847, YPG-YGL, 1469, YPG, Portage-la-prairie, 49.903099, -98.273817, YGL, La Grande Riviere, 53.625301361083984, -77.7042007446289, 7, 14:47, 17:15, 145, 
CA241, YEG-YYZ, 2689, YEG, Edmonton, 53.309700012200004, -113.580001831, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 10:52, 15:23, 232, 
CA1659, YXD-YGB, 871, YXD, Edmonton, 53.5724983215, -113.521003723, YGB, Texada, 49.69419860839844, -124.51799774169922, 2, 14:22, 15:50, 110, 
CA1812, YYC-YUL, 3006, YYC, Calgary, 51.113899231, -114.019996643, YUL, Montreal, 45.4706001282, -73.7407989502, 0, 08:45, 14:16, 145, 
CA831, YPE-YHU, 3245, YPE, Peace River, 56.226898, -117.446999, YHU, Montreal, 45.5175018311, -73.4169006348, 4, 11:31, 17:14, 232, 
CA2603, YOH-YXY, 2401, YOH, Oxford House, 54.93330001831055, -95.27890014648438, YXY, Whitehorse, 60.7095985413, -135.067001343, 3, 12:46, 17:09, 145, 
CA2687, YZG-YYR, 1331, YZG, Salluit, 62.17940139770508, -75.66719818115234, YYR, Goose Bay, 53.3191986084, -60.4258003235, 1, 14:02, 16:05, 145, 
CA877, YPY-YFO, 732, YPY, Fort Chipewyan, 58.7672004699707, -111.11699676513672, YFO, Flin Flon, 54.6781005859375, -101.68199920654297, 7, 18:54, 20:06, 232, 
CA1785, YYC-YOW, 2879, YYC, Calgary, 51.113899231, -114.019996643, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 0, 08:56, 14:10, 81, 
CA1010, YQB-YYZ, 731, YQB, Quebec, 46.7911, -71.393303, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 11:15, 12:32, 110, 
CA1706, YXR-YLW, 2871, YXR, Earlton, 47.697400654599996, -79.8473453522, YLW, Kelowna, 49.9561004639, -119.377998352, 4, 11:13, 16:27, 81, 
CA1480, YVR-YHZ, 4430, YVR, Vancouver, 49.193901062, -123.183998108, YHZ, Halifax, 44.8807983398, -63.5085983276, 0, 09:59, 17:26, 110, 
CA1987, YYZ-YHZ, 1288, YYZ, Toronto, 43.6772003174, -79.63059997559999, YHZ, Halifax, 44.8807983398, -63.5085983276, 0, 06:08, 08:14, 232, 
CA940, YQB-YOW, 368, YQB, Quebec, 46.7911, -71.393303, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 0, 07:31, 08:16, 145, 
CA2636, YQD-YSN, 1282, YQD, The Pas, 53.97140121459961, -101.09100341796875, YSN, Salmon Arm, 50.682802, -119.228996, 3, 16:33, 18:55, 110, 
CA3125, ZBM-YAM, 919, ZBM, Bromont, 45.2907981873, -72.74140167239999, YAM, Sault Sainte Marie, 46.48500061035156, -84.5093994140625, 1, 09:49, 11:16, 145, 
CA1336, YUL-YVR, 3683, YUL, Montreal, 45.4706001282, -73.7407989502, YVR, Vancouver, 49.193901062, -123.183998108, 0, 05:10, 11:56, 81, 
CA2457, YGZ-YBR, 3042, YGZ, Grise Fiord, 76.4261016846, -82.90920257570001, YBR, Brandon, 49.91, -99.951897, 5, 06:48, 12:05, 81, 
CA2906, XSI-YYJ, 1869, XSI, South Indian Lake, 56.7928009033, -98.9072036743, YYJ, Victoria, 48.646900177, -123.426002502, 4, 18:26, 21:20, 110, 
CA952, YQB-YPA, 2525, YQB, Quebec, 46.7911, -71.393303, YPA, Prince Albert, 53.214199066199996, -105.672996521, 4, 19:34, 00:09, 81, 
CA2592, YNL-YXX, 1575, YNL, Points North Landing, 58.27669906616211, -104.08200073242188, YXX, Abbotsford, 49.025299072265625, -122.36100006103516, 5, 09:44, 12:09, 81, 
CA500, YHZ-YHA, 1001, YHZ, Halifax, 44.8807983398, -63.5085983276, YHA, Port Hope Simpson, 52.528099060058594, -56.28609848022461, 7, 07:30, 09:03, 232, 
CA509, YHZ-YSK, 1697, YHZ, Halifax, 44.8807983398, -63.5085983276, YSK, Sanikiluaq, 56.5377998352, -79.2466964722, 4, 06:59, 09:34, 145, 
CA2106, YZF-YLW, 1423, YZF, Yellowknife, 62.462799072265625, -114.44000244140625, YLW, Kelowna, 49.9561004639, -119.377998352, 5, 20:22, 22:47, 145, 
CA673, YOD-ZTM, 1164, YOD, Cold Lake, 54.404998779296875, -110.27899932861328, ZTM, Shamattawa, 55.8656005859375, -92.0813980102539, 2, 19:38, 21:42, 110, 
CA2887, XLB-YQM, 2809, XLB, Lac Brochet, 58.6175003052, -101.46900177, YQM, Moncton, 46.11220169067383, -64.67859649658203, 4, 08:08, 13:16, 145, 
CA2972, YFJ-YVR, 1754, YFJ, Wekweeti, 64.190804, -114.077002, YVR, Vancouver, 49.193901062, -123.183998108, 4, 12:42, 15:48, 81, 
CA1538, YVR-YYC, 686, YVR, Vancouver, 49.193901062, -123.183998108, YYC, Calgary, 51.113899231, -114.019996643, 0, 09:53, 10:57, 145, 
CA1592, YVR-ZSW, 751, YVR, Vancouver, 49.193901062, -123.183998108, ZSW, Prince Rupert, 54.33330154418945, -130.2830047607422, 4, 11:39, 12:47, 81, 
CA175, YEG-YOW, 2850, YEG, Edmonton, 53.309700012200004, -113.580001831, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 0, 06:49, 11:23, 232, 
CA2821, YBV-XTL, 712, YBV, Berens River, 52.358898, -97.018303, XTL, Tadoule Lake, 58.7061, -98.512199, 3, 21:31, 22:39, 110, 
CA3139, YCN-YUL, 681, YCN, Cochrane, 49.10559844970703, -81.01360321044922, YUL, Montreal, 45.4706001282, -73.7407989502, 1, 12:22, 13:28, 81, 
CA462, YHZ-YVR, 4430, YHZ, Halifax, 44.8807983398, -63.5085983276, YVR, Vancouver, 49.193901062, -123.183998108, 0, 06:01, 14:05, 232, 
CA2977, YQI-YTL, 2052, YQI, Yarmouth, 43.826900482177734, -66.08809661865234, YTL, Big Trout Lake, 53.81779861450195, -89.89689636230469, 6, 16:26, 19:33, 81, 
CA1131, YQV-YYL, 629, YQV, Yorkton, 51.26470184326172, -102.46199798583984, YYL, Lynn Lake, 56.86389923095703, -101.07599639892578, 6, 23:48, 00:48, 110, 
CA3395, YTD-ZUM, 2161, YTD, Thicket Portage, 55.31890106201172, -97.70780181884766, ZUM, Churchill Falls, 53.5619010925293, -64.10639953613281, 3, 11:01, 14:35, 110, 
CA95, YDA-YVO, 4004, YDA, Dawson, 64.04309844970703, -139.1280059814453, YVO, Val D'or, 48.0532989502, -77.7827987671, 4, 19:44, 02:21, 145, 
CA1841, YYC-YVR, 686, YYC, Calgary, 51.113899231, -114.019996643, YVR, Vancouver, 49.193901062, -123.183998108, 0, 08:37, 09:40, 81, 
CA394, YHK-YMM, 1537, YHK, Gjoa Haven, 68.635597229, -95.84970092770001, YMM, Fort Mcmurray, 56.653301239, -111.222000122, 2, 14:06, 16:49, 110, 
CA1751, YYB-YHZ, 1246, YYB, North Bay, 46.363602, -79.422798, YHZ, Halifax, 44.8807983398, -63.5085983276, 3, 11:40, 13:54, 232, 
CA2225, YGH-YHU, 3950, YGH, Fort Good Hope, 66.24079895019531, -128.6510009765625, YHU, Montreal, 45.5175018311, -73.4169006348, 3, 15:36, 21:50, 81, 
CA1910, YYH-YSN, 2492, YYH, Spence Bay, 69.5466995239, -93.5766983032, YSN, Salmon Arm, 50.682802, -119.228996, 3, 19:50, 00:00, 110, 
CA1850, YYC-YYZ, 2690, YYC, Calgary, 51.113899231, -114.019996643, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 07:41, 12:04, 232, 
CA23, YBC-YGX, 1941, YBC, Baie Comeau, 49.13249969482422, -68.20439910888672, YGX, Gillam, 56.35749816894531, -94.71060180664062, 4, 23:42, 03:00, 110, 
CA1419, YVC-YYC, 736, YVC, La Ronge, 55.151401519800004, -105.262001038, YYC, Calgary, 51.113899231, -114.019996643, 4, 21:14, 22:31, 81, 
CA1486, YVR-YOW, 3553, YVR, Vancouver, 49.193901062, -123.183998108, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 0, 07:04, 13:27, 232, 
CA2318, ZTB-YOA, 3299, ZTB, Tête-à-la-Baleine, 50.674400329589844, -59.38359832763672, YOA, Ekati, 64.6988983154, -110.614997864, 2, 06:48, 12:13, 110, 
CA3176, AMN-YEG, 2385, AMN, Kamloops, 43.322101593, -84.68800354, YEG, Edmonton, 53.309700012200004, -113.580001831, 6, 17:07, 21:23, 110, 
CA2615, YPH-YXT, 3059, YPH, Inukjuak, 58.471900939941406, -78.07689666748047, YXT, Terrace, 54.468498, -128.576009, 1, 11:17, 16:09, 81, 
CA1513, YVR-YQB, 3788, YVR, Vancouver, 49.193901062, -123.183998108, YQB, Quebec, 46.7911, -71.393303, 0, 10:28, 16:17, 110, 
CA758, YOW-YYC, 2879, YOW, Ottawa, 45.3224983215332, -75.66919708251953, YYC, Calgary, 51.113899231, -114.019996643, 0, 11:46, 16:10, 81, 
CA1595, YVR-YBT, 1707, YVR, Vancouver, 49.193901062, -123.183998108, YBT, Brochet, 57.8894, -101.679001, 6, 09:21, 12:14, 232, 
CA1265, YUB-YCO, 743, YUB, Tuktoyaktuk, 69.43329620361328, -133.0260009765625, YCO, Coppermine, 67.816704, -115.143997, 3, 10:42, 11:54, 110, 
CA1291, YUL-YEG, 2969, YUL, Montreal, 45.4706001282, -73.7407989502, YEG, Edmonton, 53.309700012200004, -113.580001831, 0, 06:42, 11:26, 110, 
CA2552, YMH-YYG, 850, YMH, Mary's Harbour, 52.302799224853516, -55.847198486328125, YYG, Charlottetown, 46.290000915527344, -63.12110137939453, 6, 17:16, 18:36, 232, 
CA2043, YYZ-YVR, 3346, YYZ, Toronto, 43.6772003174, -79.63059997559999, YVR, Vancouver, 49.193901062, -123.183998108, 0, 09:53, 14:59, 110, 
CA1932, YYU-YKF, 681, YYU, Kapuskasing, 49.41389846801758, -82.46749877929688, YKF, Waterloo, 43.460800170899994, -80.3786010742, 5, 06:26, 07:33, 81, 
CA2556, YMT-YEV, 3741, YMT, Chibougamau, 49.77190017700195, -74.5280990600586, YEV, Inuvik, 68.30419921880001, -133.483001709, 2, 06:15, 12:27, 145, 
CA926, YQB-YHZ, 646, YQB, Quebec, 46.7911, -71.393303, YHZ, Halifax, 44.8807983398, -63.5085983276, 0, 06:36, 07:41, 110, 
CA1485, YVR-YHZ, 4430, YVR, Vancouver, 49.193901062, -123.183998108, YHZ, Halifax, 44.8807983398, -63.5085983276, 0, 10:33, 17:34, 145, 
CA728, YOW-YQB, 368, YOW, Ottawa, 45.3224983215332, -75.66919708251953, YQB, Quebec, 46.7911, -71.393303, 0, 09:19, 10:04, 232, 
CA1872, YYC-YSO, 3561, YYC, Calgary, 51.113899231, -114.019996643, YSO, Postville, 54.9105, -59.78507, 2, 20:18, 02:15, 145, 
CA1844, YYC-YWK, 3175, YYC, Calgary, 51.113899231, -114.019996643, YWK, Wabush, 52.92190170288086, -66.8644027709961, 4, 19:53, 00:43, 110, 
CA372, YGQ-YZX, 1734, YGQ, Geraldton, 49.77830123901367, -86.93939971923828, YZX, Greenwood, 44.98440170288086, -64.91690063476562, 4, 06:36, 09:30, 232, 
CA2884, XLB-YPN, 2566, XLB, Lac Brochet, 58.6175003052, -101.46900177, YPN, Port Menier, 49.83639907836914, -64.2885971069336, 4, 06:53, 11:06, 145, 
CA396, YHK-YMM, 1537, YHK, Gjoa Haven, 68.635597229, -95.84970092770001, YMM, Fort Mcmurray, 56.653301239, -111.222000122, 7, 07:27, 10:11, 81, 
CA905, YQB-YEG, 3051, YQB, Quebec, 46.7911, -71.393303, YEG, Edmonton, 53.309700012200004, -113.580001831, 0, 05:09, 10:04, 232, 
CA2472, YQC-YYC, 2900, YQC, Quaqtaq, 61.0463981628418, -69.6177978515625, YYC, Calgary, 51.113899231, -114.019996643, 2, 21:52, 02:35, 81, 
CA3297, YLR-ZNA, 1791, YLR, Leaf Rapids, 56.513301849365234, -99.98529815673828, ZNA, Nanaimo, 49.1833000183, -123.949996948, 3, 09:08, 11:54, 145, 
CA3064, YHF-YCB, 2445, YHF, Hearst, 49.71419906616211, -83.68609619140625, YCB, Cambridge Bay, 69.1081008911, -105.138000488, 6, 12:12, 16:29, 232, 
CA2207, YOA-XRR, 1123, YOA, Ekati, 64.6988983154, -110.614997864, XRR, Ross River, 61.9706001282, -132.42300415, 2, 17:06, 18:57, 81, 
CA1839, YYC-YVR, 686, YYC, Calgary, 51.113899231, -114.019996643, YVR, Vancouver, 49.193901062, -123.183998108, 0, 09:36, 10:40, 110, 
CA351, YFS-YSN, 1238, YFS, Fort Simpson, 61.76020050048828, -121.23699951171875, YSN, Salmon Arm, 50.682802, -119.228996, 3, 10:01, 11:57, 110, 
CA2833, YTM-ZFM, 4092, YTM, Mont-Tremblant, 46.409400939899996, -74.7799987793, ZFM, Fort Mcpherson, 67.40750122070312, -134.86099243164062, 1, 20:35, 02:52, 232, 
CA1346, YUL-YWL, 3546, YUL, Montreal, 45.4706001282, -73.7407989502, YWL, Williams Lake, 52.1831016541, -122.054000854, 3, 15:38, 21:31, 232, 
CA483, YHZ-YYZ, 1288, YHZ, Halifax, 44.8807983398, -63.5085983276, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 09:01, 11:13, 232, 
CA498, YHZ-YAA, 4473, YHZ, Halifax, 44.8807983398, -63.5085983276, YAA, Anahim Lake, 52.45249938964844, -125.3030014038086, 3, 14:28, 22:33, 145, 
CA1884, YYD-CXH, 674, YYD, Smithers, 54.82469940185547, -127.18299865722656, CXH, Vancouver, 49.2943992615, -123.111000061, 1, 18:53, 19:54, 145, 
CA2433, YGO-YTM, 1654, YGO, Gods Lake Narrows, 54.55889892578125, -94.49140167236328, YTM, Mont-Tremblant, 46.409400939899996, -74.7799987793, 5, 11:30, 14:22, 110, 
CA762, YOW-YYC, 2879, YOW, Ottawa, 45.3224983215332, -75.66919708251953, YYC, Calgary, 51.113899231, -114.019996643, 0, 11:55, 16:21, 110, 
CA36, YBG-ZMT, 4173, YBG, Bagotville, 48.33060073852539, -70.99639892578125, ZMT, Masset, 54.02750015258789, -132.125, 3, 05:23, 11:55, 110, 
CA2548, XGR-YOW, 1626, XGR, Kangiqsualujjuaq, 58.71139907836914, -65.9927978515625, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 2, 10:55, 13:28, 232, 
CA3442, YSG-YOW, 2919, YSG, Lutselk'e, 62.418303, -110.681998, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 5, 14:27, 19:42, 232, 
CA3327, YSH-YJF, 3529, YSH, Smiths Falls, 44.94580078125, -75.94059753417969, YJF, Fort Liard, 60.235801696799996, -123.46900177, 7, 08:41, 14:31, 145, 
CA772, YOW-YYZ, 363, YOW, Ottawa, 45.3224983215332, -75.66919708251953, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 08:16, 09:01, 81, 
CA510, YHZ-YTQ, 1594, YHZ, Halifax, 44.8807983398, -63.5085983276, YTQ, Tasiujaq, 58.66780090332031, -69.95580291748047, 3, 11:08, 13:39, 145, 
CA2899, XSI-YHZ, 2774, XSI, South Indian Lake, 56.7928009033, -98.9072036743, YHZ, Halifax, 44.8807983398, -63.5085983276, 3, 11:45, 16:51, 110, 
CA1298, YUL-YEG, 2969, YUL, Montreal, 45.4706001282, -73.7407989502, YEG, Edmonton, 53.309700012200004, -113.580001831, 0, 05:05, 09:54, 81, 
CA1861, YYC-YLE, 1350, YYC, Calgary, 51.113899231, -114.019996643, YLE, Whatì, 63.13169860839844, -117.24600219726562, 5, 13:19, 15:42, 110, 
CA1163, YRB-YQB, 3305, YRB, Resolute, 74.7169036865, -94.9693984985, YQB, Quebec, 46.7911, -71.393303, 3, 07:48, 13:30, 145, 
CA2484, YNS-YGV, 889, YNS, Nemiscau, 51.69110107421875, -76.1355972290039, YGV, Havre-Saint-Pierre, 50.281898498535156, -63.61140060424805, 5, 23:13, 00:39, 81, 
CA3363, KES-YGO, 208, KES, Kelsey, 56.0374984741, -96.50969696039999, YGO, Gods Lake Narrows, 54.55889892578125, -94.49140167236328, 2, 15:10, 15:55, 145, 
CA2587, YNE-ZKG, 2506, YNE, Norway House, 53.95830154418945, -97.84420013427734, ZKG, Kegaska, 50.1958007812, -61.265800476100004, 3, 15:21, 19:41, 81, 
CA1615, YVV-CXH, 3182, YVV, Wiarton, 44.7458, -81.107201, CXH, Vancouver, 49.2943992615, -123.111000061, 6, 18:40, 23:32, 81, 
CA2975, YQI-YQB, 529, YQI, Yarmouth, 43.826900482177734, -66.08809661865234, YQB, Quebec, 46.7911, -71.393303, 4, 23:45, 00:41, 81, 
CA901, YQB-YEG, 3051, YQB, Quebec, 46.7911, -71.393303, YEG, Edmonton, 53.309700012200004, -113.580001831, 0, 10:18, 15:17, 145, 
CA2064, YYZ-YYC, 2690, YYZ, Toronto, 43.6772003174, -79.63059997559999, YYC, Calgary, 51.113899231, -114.019996643, 0, 10:12, 14:38, 232, 
CA2462, YGZ-ZLT, 3029, YGZ, Grise Fiord, 76.4261016846, -82.90920257570001, ZLT, La Tabatière, 50.8307991027832, -58.97560119628906, 1, 23:30, 04:44, 145, 
CA2380, YCS-YUL, 2256, YCS, Chesterfield Inlet, 63.346900939899996, -90.73110198970001, YUL, Montreal, 45.4706001282, -73.7407989502, 4, 08:34, 12:21, 81, 
CA1201, YSC-YDB, 4558, YSC, Sherbrooke, 45.4385986328125, -71.69139862060547, YDB, Burwash, 61.37110137939453, -139.04100036621094, 6, 05:57, 13:02, 232, 
CA1238, YSY-YAL, 2383, YSY, Sachs Harbour, 71.9938964844, -125.242996216, YAL, Alert Bay, 50.58219909667969, -126.91600036621094, 4, 19:25, 23:21, 81, 
CA2849, YSO-YNO, 2180, YSO, Postville, 54.9105, -59.78507, YNO, North Spirit Lake, 52.4900016784668, -92.97109985351562, 2, 11:26, 14:52, 145, 
CA2732, ZEM-YYC, 2427, ZEM, Eastmain River, 52.22639846801758, -78.52249908447266, YYC, Calgary, 51.113899231, -114.019996643, 7, 21:32, 01:12, 110, 
CA2145, YZR-YOP, 3068, YZR, Sarnia, 42.9994010925293, -82.30889892578125, YOP, Rainbow Lake, 58.49140167236328, -119.40799713134766, 4, 09:06, 13:58, 110, 
CA620, YMM-YYD, 1017, YMM, Fort Mcmurray, 56.653301239, -111.222000122, YYD, Smithers, 54.82469940185547, -127.18299865722656, 4, 05:31, 07:05, 81, 
CA3211, YSE-YTQ, 3495, YSE, Squamish, 49.7817001343, -123.162002563, YTQ, Tasiujaq, 58.66780090332031, -69.95580291748047, 2, 08:52, 14:50, 232, 
CA2662, YST-YUL, 1772, YST, St. Theresa Point, 53.84560012817383, -94.85189819335938, YUL, Montreal, 45.4706001282, -73.7407989502, 2, 13:13, 16:11, 81, 
CA843, YPG-YEK, 1271, YPG, Portage-la-prairie, 49.903099, -98.273817, YEK, Eskimo Point, 61.0942001343, -94.07080078119999, 2, 22:49, 00:58, 145, 
CA231, YEG-YYG, 3625, YEG, Edmonton, 53.309700012200004, -113.580001831, YYG, Charlottetown, 46.290000915527344, -63.12110137939453, 4, 10:15, 15:49, 145, 
CA190, YEG-YQB, 3051, YEG, Edmonton, 53.309700012200004, -113.580001831, YQB, Quebec, 46.7911, -71.393303, 0, 10:58, 16:09, 110, 
CA217, YEG-YVR, 809, YEG, Edmonton, 53.309700012200004, -113.580001831, YVR, Vancouver, 49.193901062, -123.183998108, 0, 09:40, 11:00, 110, 
CA2753, ZMT-YCS, 2550, ZMT, Masset, 54.02750015258789, -132.125, YCS, Chesterfield Inlet, 63.346900939899996, -90.73110198970001, 4, 17:43, 22:11, 232, 
CA2259, YCK-YKQ, 3085, YCK, Colville Lake, 67.0392, -126.08, YKQ, Waskaganish, 51.47330093383789, -78.75830078125, 4, 18:09, 23:24, 232, 
CA2692, YZG-YML, 1657, YZG, Salluit, 62.17940139770508, -75.66719818115234, YML, Charlevoix, 47.59749984741211, -70.2238998413086, 6, 21:12, 23:57, 110, 
CA188, YEG-YQB, 3051, YEG, Edmonton, 53.309700012200004, -113.580001831, YQB, Quebec, 46.7911, -71.393303, 0, 09:41, 14:51, 145, 
CA328, YFO-YSU, 2787, YFO, Flin Flon, 54.6781005859375, -101.68199920654297, YSU, Summerside, 46.44060134887695, -63.83359909057617, 4, 14:29, 19:03, 81, 
CA1116, YQR-YBB, 2167, YQR, Regina, 50.43190002441406, -104.66600036621094, YBB, Pelly Bay, 68.534401, -89.808098, 4, 18:07, 21:54, 145, 
CA2112, YZF-YBT, 867, YZF, Yellowknife, 62.462799072265625, -114.44000244140625, YBT, Brochet, 57.8894, -101.679001, 2, 06:08, 07:39, 81, 
